"","cname","year","share_union","gdp_pc"
"1","Albania",2005,0.0623869801084991,5533.08984375
"2","Australia",2004,0.250155957579538,33745.9609375
"3","Belgium",2003,0.302410186448386,28228
"4","Brazil",2002,0.157433240334795,6651.0498046875
"5","Bulgaria",2001,0.0587044534412955,7390.43994140625
"6","Canada",2004,0.419836956521739,33201.05078125
"7","Chile",2005,NA,11209.4599609375
"8","Czech Republic",2002,0.105095541401274,16957.1796875
"9","Denmark",2001,0.6617137196632,29414.220703125
"10","Finland",2003,0.517991631799163,27512.609375
"11","France (1963-)",2002,0.184265010351967,26849.51953125
"12","Germany",2002,0.159357214596585,26570.26953125
"13","Hungary",2002,0.0870292887029289,13808.349609375
"14","Iceland",2003,0.789250353606789,28488.919921875
"15","Ireland",2002,0.345489443378119,33643.80078125
"16","Israel",2003,0.248107653490328,22918.220703125
"17","Italy",2006,0.104239054899236,29959.630859375
"18","Japan",2004,0.0992248062015504,29853.900390625
"19","Korea, North",2004,0.0426300578034682,1537.59997558594
"20","Kyrgyzstan",2005,NA,2218.2900390625
"21","Mexico",2003,0.104568527918782,10080.919921875
"22","Netherlands",2002,0.269377382465057,30907.810546875
"23","New Zealand",2002,0.118458884416331,22913.94921875
"24","Norway",2001,0.476658476658477,50043.5703125
"25","Peru",2006,NA,6330.91015625
"26","Philippines",2004,0.0634191176470588,2911.51000976562
"27","Poland",2001,0.0919732441471572,11166.1298828125
"28","Portugal",2002,0.117465224111283,17724.55078125
"29","Portugal",2005,0.117196056955093,20277.509765625
"30","Romania",2004,0.12241653418124,7234.5400390625
"31","Russia",2004,0.278343516632722,10439.1298828125
"32","Slovenia",2004,0.278296988577362,20316.91015625
"33","Spain",2004,0.0521008403361345,24139.91015625
"34","Sweden",2002,0.634123222748815,28354.51953125
"35","Switzerland",2003,0.192090395480226,34011.3515625
"36","Taiwan",2001,0.233915211970075,19871.630859375
"37","Taiwan",2004,NA,23942.4296875
"38","United Kingdom",2005,0.226107226107226,32068.869140625
"39","United States",2004,0.107344632768362,40142.37109375
